bench,bpred,size,metric,value
gcc,oht,128KB,lookups,2338762
gcc,oht,128KB,updates,2060457
gcc,oht,128KB,addr_hits,1835233
gcc,oht,128KB,dir_hits,1896341
gcc,oht,128KB,misses,164116
gcc,oht,128KB,jr_hits,134995
gcc,oht,128KB,jr_seen,174461
gcc,oht,128KB,jr_non_ras_hits.PP,17126
gcc,oht,128KB,jr_non_ras_seen.PP,53076
gcc,oht,128KB,bpred_addr_rate,0.8907
gcc,oht,128KB,bpred_dir_rate,0.9203
gcc,oht,128KB,bpred_jr_rate,0.7738
gcc,oht,128KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,oht,128KB,retstack_pushes,149525
gcc,oht,128KB,retstack_pops,135985
gcc,oht,128KB,used_ras.PP,121385
gcc,oht,128KB,ras_hits.PP,117869
gcc,oht,128KB,ras_rate.PP,0.9710
gcc,oht,128KB,reverse_lookups,2060457
gcc,oht,128KB,reverse_updates,2060457
gcc,oht,128KB,reverse_addr_hits,1892822
gcc,oht,128KB,reverse_dir_hits,1950424
gcc,oht,128KB,reverse_misses,110033
gcc,oht,128KB,reverse_jr_hits,138533
gcc,oht,128KB,reverse_jr_seen,174461
gcc,oht,128KB,reverse_jr_non_ras_hits.PP,17148
gcc,oht,128KB,reverse_jr_non_ras_seen.PP,53076
gcc,oht,128KB,reverse_bpred_addr_rate,0.9186
gcc,oht,128KB,reverse_bpred_dir_rate,0.9466
gcc,oht,128KB,reverse_bpred_jr_rate,0.7941
gcc,oht,128KB,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,oht,128KB,reverse_retstack_pushes,121385
gcc,oht,128KB,reverse_retstack_pops,121396
gcc,oht,128KB,reverse_used_ras.PP,121385
gcc,oht,128KB,reverse_ras_hits.PP,121385
gcc,oht,128KB,reverse_ras_rate.PP,1.0000
gcc,oht,16KB,lookups,2390525
gcc,oht,16KB,updates,2060457
gcc,oht,16KB,addr_hits,1784099
gcc,oht,16KB,dir_hits,1843391
gcc,oht,16KB,misses,217066
gcc,oht,16KB,jr_hits,134572
gcc,oht,16KB,jr_seen,174461
gcc,oht,16KB,jr_non_ras_hits.PP,17126
gcc,oht,16KB,jr_non_ras_seen.PP,53076
gcc,oht,16KB,bpred_addr_rate,0.8659
gcc,oht,16KB,bpred_dir_rate,0.8947
gcc,oht,16KB,bpred_jr_rate,0.7714
gcc,oht,16KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,oht,16KB,retstack_pushes,154359
gcc,oht,16KB,retstack_pops,138362
gcc,oht,16KB,used_ras.PP,121385
gcc,oht,16KB,ras_hits.PP,117446
gcc,oht,16KB,ras_rate.PP,0.9675
gcc,oht,16KB,reverse_lookups,2060457
gcc,oht,16KB,reverse_updates,2060457
gcc,oht,16KB,reverse_addr_hits,1855108
gcc,oht,16KB,reverse_dir_hits,1909872
gcc,oht,16KB,reverse_misses,150585
gcc,oht,16KB,reverse_jr_hits,138533
gcc,oht,16KB,reverse_jr_seen,174461
gcc,oht,16KB,reverse_jr_non_ras_hits.PP,17148
gcc,oht,16KB,reverse_jr_non_ras_seen.PP,53076
gcc,oht,16KB,reverse_bpred_addr_rate,0.9003
gcc,oht,16KB,reverse_bpred_dir_rate,0.9269
gcc,oht,16KB,reverse_bpred_jr_rate,0.7941
gcc,oht,16KB,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,oht,16KB,reverse_retstack_pushes,121385
gcc,oht,16KB,reverse_retstack_pops,121396
gcc,oht,16KB,reverse_used_ras.PP,121385
gcc,oht,16KB,reverse_ras_hits.PP,121385
gcc,oht,16KB,reverse_ras_rate.PP,1.0000
gcc,oht,1MB,lookups,2327926
gcc,oht,1MB,updates,2060457
gcc,oht,1MB,addr_hits,1848209
gcc,oht,1MB,dir_hits,1909822
gcc,oht,1MB,misses,150635
gcc,oht,1MB,jr_hits,135118
gcc,oht,1MB,jr_seen,174461
gcc,oht,1MB,jr_non_ras_hits.PP,17126
gcc,oht,1MB,jr_non_ras_seen.PP,53076
gcc,oht,1MB,bpred_addr_rate,0.8970
gcc,oht,1MB,bpred_dir_rate,0.9269
gcc,oht,1MB,bpred_jr_rate,0.7745
gcc,oht,1MB,bpred_jr_non_ras_rate.PP,0.3227
gcc,oht,1MB,retstack_pushes,148249
gcc,oht,1MB,retstack_pops,135636
gcc,oht,1MB,used_ras.PP,121385
gcc,oht,1MB,ras_hits.PP,117992
gcc,oht,1MB,ras_rate.PP,0.9720
gcc,oht,1MB,reverse_lookups,2060457
gcc,oht,1MB,reverse_updates,2060457
gcc,oht,1MB,reverse_addr_hits,1912392
gcc,oht,1MB,reverse_dir_hits,1970322
gcc,oht,1MB,reverse_misses,90135
gcc,oht,1MB,reverse_jr_hits,138533
gcc,oht,1MB,reverse_jr_seen,174461
gcc,oht,1MB,reverse_jr_non_ras_hits.PP,17148
gcc,oht,1MB,reverse_jr_non_ras_seen.PP,53076
gcc,oht,1MB,reverse_bpred_addr_rate,0.9281
gcc,oht,1MB,reverse_bpred_dir_rate,0.9563
gcc,oht,1MB,reverse_bpred_jr_rate,0.7941
gcc,oht,1MB,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,oht,1MB,reverse_retstack_pushes,121385
gcc,oht,1MB,reverse_retstack_pops,121396
gcc,oht,1MB,reverse_used_ras.PP,121385
gcc,oht,1MB,reverse_ras_hits.PP,121385
gcc,oht,1MB,reverse_ras_rate.PP,1.0000
gcc,oht,256KB,lookups,2331605
gcc,oht,256KB,updates,2060457
gcc,oht,256KB,addr_hits,1842907
gcc,oht,256KB,dir_hits,1904357
gcc,oht,256KB,misses,156100
gcc,oht,256KB,jr_hits,135011
gcc,oht,256KB,jr_seen,174461
gcc,oht,256KB,jr_non_ras_hits.PP,17126
gcc,oht,256KB,jr_non_ras_seen.PP,53076
gcc,oht,256KB,bpred_addr_rate,0.8944
gcc,oht,256KB,bpred_dir_rate,0.9242
gcc,oht,256KB,bpred_jr_rate,0.7739
gcc,oht,256KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,oht,256KB,retstack_pushes,148529
gcc,oht,256KB,retstack_pops,135872
gcc,oht,256KB,used_ras.PP,121385
gcc,oht,256KB,ras_hits.PP,117885
gcc,oht,256KB,ras_rate.PP,0.9712
gcc,oht,256KB,reverse_lookups,2060457
gcc,oht,256KB,reverse_updates,2060457
gcc,oht,256KB,reverse_addr_hits,1902134
gcc,oht,256KB,reverse_dir_hits,1960048
gcc,oht,256KB,reverse_misses,100409
gcc,oht,256KB,reverse_jr_hits,138533
gcc,oht,256KB,reverse_jr_seen,174461
gcc,oht,256KB,reverse_jr_non_ras_hits.PP,17148
gcc,oht,256KB,reverse_jr_non_ras_seen.PP,53076
gcc,oht,256KB,reverse_bpred_addr_rate,0.9232
gcc,oht,256KB,reverse_bpred_dir_rate,0.9513
gcc,oht,256KB,reverse_bpred_jr_rate,0.7941
gcc,oht,256KB,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,oht,256KB,reverse_retstack_pushes,121385
gcc,oht,256KB,reverse_retstack_pops,121396
gcc,oht,256KB,reverse_used_ras.PP,121385
gcc,oht,256KB,reverse_ras_hits.PP,121385
gcc,oht,256KB,reverse_ras_rate.PP,1.0000
gcc,oht,32KB,lookups,2372607
gcc,oht,32KB,updates,2060457
